W0821 19:05:20.492022 10495 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
epoch: 8, batch_id: 600, loss is: [0.03403031], acc is: [0.984375]
epoch: 8, batch_id: 700, loss is: [0.00876185], acc is: [1.]
epoch: 8, batch_id: 800, loss is: [0.00939835], acc is: [1.]
epoch: 8, batch_id: 900, loss is: [0.00021404], acc is: [1.]
epoch: 9, batch_id: 0, loss is: [0.0052616], acc is: [1.]
epoch: 9, batch_id: 100, loss is: [0.00021584], acc is: [1.]
epoch: 9, batch_id: 200, loss is: [0.00062175], acc is: [1.]
epoch: 9, batch_id: 300, loss is: [0.08674773], acc is: [0.984375]
epoch: 9, batch_id: 400, loss is: [8.703976e-05], acc is: [1.]
epoch: 9, batch_id: 500, loss is: [0.0112275], acc is: [1.]
epoch: 9, batch_id: 600, loss is: [0.00284711], acc is: [1.]
epoch: 9, batch_id: 700, loss is: [0.02583237], acc is: [0.984375]
epoch: 9, batch_id: 800, loss is: [0.00151782], acc is: [1.]
epoch: 9, batch_id: 900, loss is: [0.00072662], acc is: [1.]
batch_id: 0, loss is: [0.00309499], acc is: [1.]
batch_id: 20, loss is: [0.17066747], acc is: [0.984375]
batch_id: 40, loss is: [0.11424355], acc is: [0.984375]
batch_id: 60, loss is: [0.02409423], acc is: [0.984375]
batch_id: 80, loss is: [0.00064426], acc is: [1.]
batch_id: 100, loss is: [1.1303648e-05], acc is: [1.]
batch_id: 120, loss is: [9.3364826e-05], acc is: [1.]
batch_id: 140, loss is: [0.07459652], acc is: [0.984375]
